Stop with no routes: Stop{stopId='SNCB-8821402_3', name='Essen', latitude=51.46276, longitude=4.451318, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408708', name='Tongeren Vormingscentrum', latitude=50.771129, longitude=5.476104, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408709', name='Schulen Tichelstraat II', latitude=50.957109, longitude=5.18594, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408798', name='Diets-Heur Kerk', latitude=50.745535, longitude=5.483009, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408795', name='Nieuw Tongeren Sint-Jozefsplein', latitude=50.787923, longitude=5.469077, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408775', name='Henis Kerk', latitude=50.798548, longitude=5.47027, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8814415_1', name='Huizingen', latitude=50.7519, longitude=4.266485, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408776', name='Lauw Daalbroek', latitude=50.744982, longitude=5.419906, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8814415_2', name='Huizingen', latitude=50.7519, longitude=4.266485, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408773', name='Tongeren Begijnestraat', latitude=50.774851, longitude=5.475207, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408792', name='Mulken De Locht', latitude=50.789625, longitude=5.44997, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408785', name='Nieuw Tongeren Ziegelsmeer', latitude=50.791191, longitude=5.469501, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408755', name='Riksingen Kerk', latitude=50.80571, longitude=5.462459, routes=[]}
Stop with no routes: Stop{stopId='SNCB-S8811007', name='Schaerbeek', latitude=50.87851, longitude=4.37864, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408762', name='Riksingen Sint-Geertruistraat', latitude=50.80867, longitude=5.458215, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8892056_4', name='Landegem', latitude=51.06431, longitude=3.576856, routes=[]}
Stop with no routes: Stop{stopId='SNCB-S8874724', name='Jemeppe-sur-Sambre', latitude=50.45095, longitude=4.66263, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8892056_2', name='Landegem', latitude=51.06431, longitude=3.576856, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8892056_3', name='Landegem', latitude=51.06431, longitude=3.576856, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8866001_5', name='Arlon', latitude=49.68053, longitude=5.809972, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8892056_1', name='Landegem', latitude=51.06431, longitude=3.576856, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8866001_1', name='Arlon', latitude=49.68053, longitude=5.809972, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8866001_2', name='Arlon', latitude=49.68053, longitude=5.809972, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8866001_3', name='Arlon', latitude=49.68053, longitude=5.809972, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8866001_4', name='Arlon', latitude=49.68053, longitude=5.809972, routes=[]}
Stop with no routes: Stop{stopId='SNCB-S8811155', name='Haren', latitude=50.88888, longitude=4.41998, routes=[]}
Stop with no routes: Stop{stopId='SNCB-S8874716', name='Auvelais', latitude=50.4492, longitude=4.630534, routes=[]}
Stop with no routes: Stop{stopId='SNCB-S8811148', name='Buda', latitude=50.9075, longitude=4.417075, routes=[]}
Stop with no routes: Stop{stopId='SNCB-S8811171', name='Meiser', latitude=50.85407, longitude=4.394424, routes=[]}
Stop with no routes: Stop{stopId='SNCB-S8811163', name='Bordet', latitude=50.87779, longitude=4.410024, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8812013_1', name='Simonis', latitude=50.86364, longitude=4.328982, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8812013_2', name='Simonis', latitude=50.86364, longitude=4.328982, routes=[]}
Stop with no routes: Stop{stopId='SNCB-S8811197', name='Mérode', latitude=50.83928, longitude=4.398932, routes=[]}
Stop with no routes: Stop{stopId='STIB-0470338', name='3 - Rue de l'Armistice', latitude=50.86269, longitude=4.329918, routes=[]}
Stop with no routes: Stop{stopId='SNCB-S8811189', name='Vilvorde', latitude=50.92458, longitude=4.432826, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-203438', name='Zelzate Koophandelsplein', latitude=51.190823, longitude=3.795216, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-109586', name='Heist-op-den-Berg Moretuslaan', latitude=51.066047, longitude=4.707024, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-109584', name='Heist-op-den-Berg Plantijnlaan', latitude=51.0677, longitude=4.709172, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-109583', name='Heist-op-den-Berg Schoorstraat', latitude=51.06456, longitude=4.713906, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-109581', name='Heist-op-den-Berg Kleine Langveldstraat', latitude=51.057099, longitude=4.706942, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-301915', name='Boortmeerbeek Leibeek', latitude=50.990895, longitude=4.581325, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-109579', name='Heist-op-den-Berg Burgerheide', latitude=51.051512, longitude=4.708696, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-109578', name='Heist-op-den-Berg Halfbunder', latitude=51.052025, longitude=4.706027, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-109575', name='Heist-op-den-Berg Hollandstraat', latitude=51.043787, longitude=4.699313, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-109576', name='Heist-op-den-Berg 's Gravenhagestraat', latitude=51.048793, longitude=4.703304, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-109571', name='Liezele Achterheide', latitude=51.055799, longitude=4.263104, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-109572', name='Heist-op-den-Berg Achterheideweg', latitude=51.037332, longitude=4.701119, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-109539', name='Heist-op-den-Berg Schaatsbaan', latitude=51.067858, longitude=4.715696, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8822137_1', name='Malderen', latitude=51.01449, longitude=4.22911, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8822137_2', name='Malderen', latitude=51.01449, longitude=4.22911, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408676', name='Paal Beukenstraat', latitude=51.032628, longitude=5.161928, routes=[]}
Stop with no routes: Stop{stopId='SNCB-S8811106', name='Evere', latitude=50.86778, longitude=4.400963, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408668', name='Riksingen Dreef', latitude=50.812762, longitude=5.466531, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8872306_2', name='Lodelinsart', latitude=50.43245, longitude=4.46295, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8872306_1', name='Lodelinsart', latitude=50.43245, longitude=4.46295, routes=[]}
Stop with no routes: Stop{stopId='SNCB-S8811130', name='Haren-Sud', latitude=50.88969, longitude=4.415358, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408633', name='Tongeren Neremweg', latitude=50.777842, longitude=5.472464, routes=[]}
Stop with no routes: Stop{stopId='STIB-0240235', name='2 - Rue Jules Cockx', latitude=50.815251, longitude=4.408625, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408042', name='Terbiest Speelplein', latitude=50.828163, longitude=5.21445, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408038', name='Genebos Kerpensberg', latitude=51.080834, longitude=5.127828, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408001', name='Kortenbos Heide', latitude=50.865967, longitude=5.221984, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8812252_1', name='Ternat', latitude=50.87452, longitude=4.16534, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8812252_2', name='Ternat', latitude=50.87452, longitude=4.16534, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8812252_3', name='Ternat', latitude=50.87452, longitude=4.16534, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8892643_1', name='Gavere-Asper', latitude=50.93002, longitude=3.639728, routes=[]}
Stop with no routes: Stop{stopId='STIB-0431050', name='3 - Boulevard Adolphe Max', latitude=50.855257, longitude=4.357899, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8892643_2', name='Gavere-Asper', latitude=50.93002, longitude=3.639728, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-506578', name='Schore Spermalie', latitude=51.121396, longitude=2.847276, routes=[]}
Stop with no routes: Stop{stopId='STIB-0470638', name='6 - Place Simonis', latitude=50.863435, longitude=4.328369, routes=[]}
Stop with no routes: Stop{stopId='SNCB-S8874005', name='Châtelet', latitude=50.4101, longitude=4.52186, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-207954', name='Opwijk Hoeksken', latitude=50.979618, longitude=4.156088, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-207956', name='Opwijk Rustoord De Oase', latitude=50.966752, longitude=4.183397, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408088', name='Genebos Zwaluwstraat', latitude=51.083904, longitude=5.133256, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-301152', name='Liezele Fort', latitude=51.068875, longitude=4.281909, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-301180', name='Kaggevinne Ketelwinning', latitude=50.977413, longitude=5.019613, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-301181', name='Kaggevinne Grootveld', latitude=50.9762, longitude=5.02605, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8814167_1', name='Rhode-Saint-Genèse', latitude=50.74781, longitude=4.362001, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8814167_2', name='Rhode-Saint-Genèse', latitude=50.74781, longitude=4.362001, routes=[]}
Stop with no routes: Stop{stopId='STIB-7680126', name='1 - Place Bizet', latitude=50.825215, longitude=4.297873, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8871225_1', name='Courcelles-Motte', latitude=50.46201, longitude=4.40053, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-301198', name='Kaggevinne Galgenveld', latitude=50.97712, longitude=5.031253, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8871225_2', name='Courcelles-Motte', latitude=50.46201, longitude=4.40053, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-301191', name='Kaggevinne Lindeboomstraat', latitude=50.976765, longitude=5.037965, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8871225_3', name='Courcelles-Motte', latitude=50.46201, longitude=4.40053, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8871225_4', name='Courcelles-Motte', latitude=50.46201, longitude=4.40053, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-301193', name='Diest Frankenstraat', latitude=50.978198, longitude=5.045772, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-301194', name='Diest Bloemenlaan', latitude=50.978752, longitude=5.051271, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8892403_1', name='Kortemark', latitude=51.02525, longitude=3.043456, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8892403_2', name='Kortemark', latitude=51.02525, longitude=3.043456, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-301103', name='Overhespen Villa Torré', latitude=50.800019, longitude=5.031355, routes=[]}
Stop with no routes: Stop{stopId='STIB-0240335', name='3 - Avenue des Meuniers', latitude=50.815107, longitude=4.410413, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8831401_3', name='Diest', latitude=50.99334, longitude=5.05003, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8831401_4', name='Diest', latitude=50.99334, longitude=5.05003, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8831401_1', name='Diest', latitude=50.99334, longitude=5.05003, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8831401_2', name='Diest', latitude=50.99334, longitude=5.05003, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8864436_1', name='Melreux-Hotton', latitude=50.28367, longitude=5.44014, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8864436_2', name='Melreux-Hotton', latitude=50.28367, longitude=5.44014, routes=[]}
